,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2021,X2022,X2023,X2024,X2025,X2026,X2027,X2028,X2029,X2030,X2031,X2032,X2033,X2034,X2035,X2036,X2037,X2038,X2039,X2040,X2061,X2062,X2063,X2064,X2065,X2066,X2067,X2068,X2069,X2070,X2071,X2072,X2073,X2074,X2075,X2076,X2077,X2078,X2079,X2080,OBJECTID,CTRY20CD,CTRY20NM,BNG_E,BNG_N,LONG,LAT,Shape__Are,Shape__Len,geometry,
11942,17.963968,17.451624,17.451624,18.017466,19.29081,17.915133,19.55957,18.687195,18.283081,19.146292,16.975674,17.180826,17.306698,18.593098,18.457449,18.906431,18.413033,19.853579,18.968401,18.835472,19.285484,19.582935,22.661911,17.8402,22.66754,20.196365,19.68566,20.214226,20.02342,20.121527,19.225298,21.288412,20.767862,20.836617,19.485655,20.24769,19.536684,19.741152,20.915697,19.492609,23.675192,22.464365,22.766794,24.307543,24.47597,23.82937,25.453857,24.203148,21.87287,24.316162,23.346916,24.839594,23.92456,24.559244,23.906332,25.909256,22.736094,23.719803,25.038439,25.338373,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(157500, 37500)
11943,17.940874,17.324625,17.324625,17.944324,19.385193,17.818584,19.549334,18.621397,18.245512,19.128992,16.88609,17.047897,17.218777,18.440174,18.484167,18.920479,18.445427,19.894606,19.091051,18.84417,19.458223,19.45186,22.651377,17.942144,22.987816,20.222643,19.73258,20.178041,19.889717,20.091988,19.180948,21.541815,20.770325,21.277014,19.506947,20.4756,19.66234,19.814056,20.985853,19.47228,23.843805,22.826012,23.063162,24.79648,24.97233,23.94416,25.694235,24.578917,22.220467,24.779634,23.80774,25.523268,24.114662,25.153086,24.492477,26.530973,23.093065,24.021461,25.46686,25.97994,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(157500, 32500)
12185,17.77225,17.248232,17.248232,17.855953,19.026655,17.705727,19.423567,18.537664,18.021482,18.962753,16.887453,17.021345,17.213469,18.435553,18.210588,18.676537,18.267578,19.582907,18.77664,18.643148,19.055672,19.356298,22.34999,17.626749,22.407797,20.00077,19.450508,20.02613,19.887266,19.905024,19.054825,21.0428,20.564009,20.632673,19.288685,19.939327,19.345058,19.419565,20.74248,19.307898,23.297155,22.197168,22.36267,23.917532,24.112421,23.658133,25.165405,23.900179,21.584913,23.914291,22.906195,24.506927,23.569067,24.198557,23.50627,25.501877,22.441813,23.34105,24.67341,24.879084,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(162500, 42500)
12186,17.800064,17.223406,17.223406,17.828106,19.183004,17.630703,19.33013,18.540932,18.033422,18.962889,16.735548,16.920347,17.167002,18.407906,18.410181,18.710567,18.24209,19.684547,18.862032,18.668219,19.22249,19.363817,22.481598,17.671638,22.644028,20.00184,19.560625,19.922667,19.812998,19.855959,18.994947,21.253637,20.576664,20.979464,19.292015,20.229658,19.427101,19.555716,20.780073,19.314339,23.607521,22.540144,22.828226,24.530159,24.579336,23.79612,25.524988,24.299685,21.916391,24.446928,23.460243,25.212591,23.963118,24.847055,24.051764,26.169167,22.834696,23.719385,25.159277,25.63751,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(162500, 37500)
12187,17.744959,17.119974,17.119974,17.76488,19.25323,17.600058,19.31819,18.480307,17.97735,18.907248,16.65007,16.808634,17.105415,18.334358,18.460115,18.684591,18.249662,19.705824,18.952173,18.601107,19.373148,19.224483,22.487104,17.757355,22.91046,20.080229,19.60259,19.90599,19.729952,19.847832,18.95136,21.350729,20.577559,21.235922,19.262259,20.374538,19.537134,19.560726,20.820574,19.329302,23.748514,22.82932,22.916658,24.852554,24.974472,23.811775,25.655287,24.574636,22.210793,24.823103,23.770594,25.725134,24.103271,25.306757,24.506845,26.693481,23.119186,24.01185,25.530472,26.237776,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(162500, 32500)
12188,17.70547,17.112804,17.112804,17.783072,19.343788,17.603468,19.44465,18.463411,17.998985,18.9219,16.670406,16.822691,17.123352,18.315496,18.618357,18.771904,18.32953,19.7278,19.094933,18.64849,19.486425,19.34614,22.569267,17.873446,23.19805,20.353163,19.789665,19.986061,19.770891,19.901194,19.003561,21.40985,20.566225,21.418676,19.327728,20.497236,19.65816,19.65085,20.940763,19.507395,23.914808,23.072191,22.981333,25.037642,25.228739,23.73897,25.79515,24.855185,22.401731,25.228525,23.754646,26.195814,24.24433,25.708334,24.799688,27.04988,23.250185,24.084238,25.897593,26.613855,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(162500, 27500)
12429,17.626135,17.070765,17.070765,17.65893,18.929628,17.486132,19.190636,18.388275,17.842722,18.758146,16.62646,16.855288,17.038958,18.255583,18.149994,18.540602,18.111082,19.425846,18.679558,18.52048,18.935892,19.205908,22.17449,17.513662,22.33605,19.96067,19.31891,19.832329,19.78862,19.647154,18.865227,21.057457,20.423058,20.651758,19.182644,19.927841,19.351076,19.279795,20.562956,19.14659,23.307816,22.312683,22.493044,24.027395,24.21979,23.674215,25.125292,24.119482,21.5846,24.071482,23.05543,24.865,23.658869,24.47724,23.567251,25.853617,22.442282,23.255259,24.824982,25.239264,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(167500, 42500)
12430,17.186974,16.56269,16.56269,17.18584,18.570211,16.961843,18.63993,17.933052,17.322805,18.253565,16.05301,16.27056,16.52978,17.775343,17.83322,18.04975,17.660013,18.996336,18.231388,17.990095,18.643837,18.693165,21.753128,17.097803,22.145529,19.40703,18.91374,19.241636,19.258244,19.130026,18.328436,20.594446,19.966105,20.565735,18.651377,19.636328,18.881907,18.908594,20.135592,18.731897,23.036482,22.103287,22.288027,23.998507,24.133316,23.106949,24.9363,23.836798,21.441162,24.004965,23.005081,24.971596,23.470438,24.60991,23.684677,25.885658,22.359062,23.161295,24.826468,25.413025,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(167500, 37500)
12431,17.323101,16.694654,16.694654,17.333052,18.838947,17.12871,18.867905,18.036917,17.44384,18.400358,16.188389,16.37886,16.694977,17.920195,18.116713,18.213247,17.78678,19.191015,18.491638,18.06356,18.986776,18.797386,21.9121,17.340055,22.486067,19.66969,19.16371,19.452253,19.356794,19.316973,18.489744,20.81388,20.1513,20.976908,18.825659,19.924759,19.083878,19.06206,20.4442,18.949913,23.318476,22.536108,22.513063,24.486496,24.678598,23.296278,25.310846,24.287653,21.917978,24.500147,23.401848,25.561552,23.80761,25.097397,24.24739,26.425766,22.831093,23.701239,25.31265,26.135195,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(167500, 32500)
12432,17.808514,17.204308,17.204308,17.872696,19.3816,17.722223,19.511896,18.619272,18.028095,18.93318,16.75274,16.933447,17.268057,18.396072,18.837225,18.845915,18.362335,19.70259,19.143023,18.588463,19.633944,19.54119,22.546087,18.007093,23.304144,20.450161,19.903542,20.081835,19.846983,19.911192,19.046425,21.362452,20.667063,21.571321,19.471075,20.56452,19.716156,19.694227,21.09583,19.689863,23.941694,23.247232,23.049074,25.214308,25.439163,23.757711,25.898912,25.121374,22.65352,25.322096,23.861902,26.398153,24.447151,25.890272,24.988455,27.220484,23.42566,24.385094,26.096312,26.834372,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(167500, 27500)
